complaint_text,category,priority,location,date
sewage mix agide neeru jote.,Contamination,Medium,Whitefield,2026-02-16
"Minor leak, only drops coming out from the pipe at HSR Layout.",Leakage,Low,HSR Layout,2026-02-17
No supply at all in Yelahanka.,Supply,Medium,Yelahanka,2025-12-24
full kachara tumbide drain nalli.,Drainage,Medium,Jayanagar,2025-12-25
There is a severe water leak at the intersection in Jayanagar.,Leakage,Medium,Jayanagar,2026-02-13
We are not getting water in Jayanagar.,Supply,Medium,Jayanagar,2026-01-18
charandi block agide KR Puram nalli.,Drainage,Medium,KR Puram,2026-01-12
Broken pipe causing flooding near Jayanagar.,Leakage,Medium,Jayanagar,2026-01-03
Whitefield ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Whitefield,2026-01-27
The water is brown and has particles in it.,Contamination,Medium,Indiranagar,2026-01-22
Water is muddy and unhygienic.,Contamination,Medium,Indiranagar,2026-03-04
"Drainage block agide, vasane barthide Jayanagar.",Drainage,Low,Jayanagar,2026-03-03
Whitefield ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Whitefield,2026-01-17
Water is not safe for drinking today.,Contamination,Medium,Indiranagar,2025-12-18
drain is flul of grabage.,Drainage,Medium,Electronic City,2026-01-26
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Yelahanka,2025-12-19
neeru full black agide HSR Layout nalli.,Contamination,High,HSR Layout,2026-02-03
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,KR Puram,2026-02-26
drain is flul of grabage.,Drainage,Medium,KR Puram,2026-01-04
neeru leak agthide Yelahanka hatra.,Leakage,Medium,Yelahanka,2026-01-04
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Yelahanka,2026-02-23
Rajajinagar ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Rajajinagar,2025-12-12
Taps are leaking continuously.,Leakage,Medium,HSR Layout,2026-01-12
Water is leaking from the main pipe near Electronic City.,Leakage,Medium,Electronic City,2025-12-24
pressure tumba low ide Yelahanka nalli.,Supply,Low,Yelahanka,2026-01-13
sewage mix agide neeru jote.,Contamination,Medium,Jayanagar,2025-12-19
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Electronic City,2025-12-17
Taps are leaking continuously.,Leakage,Medium,Indiranagar,2025-12-11
bad smll wter cming frm tap.,Contamination,Low,KR Puram,2025-12-16
sewage mix agide neeru jote.,Contamination,Medium,HSR Layout,2025-12-30
We have been waiting for water since 2 days.,Supply,High,Rajajinagar,2025-12-11
Mosquitoes increasing because of drainage leak.,Drainage,Medium,HSR Layout,2026-02-18
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Rajajinagar,2026-01-03
We have been waiting for water since morning.,Supply,Medium,KR Puram,2026-01-25
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Hebbal,2025-12-17
tumba neeru waste agthide KR Puram nalli due to leak.,Leakage,Medium,KR Puram,2026-02-28
There is a severe water leak at the intersection in Rajajinagar.,Leakage,Medium,Rajajinagar,2026-01-13
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Marathahalli,2026-01-26
