complaint_text,category,priority
Water smells bad and is yellowish.,Contamination,High
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
"Gutter is blocked, very bad smell.",Drainage,Low
bad smll wter cming frm tap.,Contamination,Low
"Drainage block agide, vasane barthide Basavanagudi.",Drainage,Low
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
Continuous water leakage in our area Basavanagudi.,Leakage,Medium
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
"Water timing is not followed, please fix.",Supply,Low
Water smells bad and is yellowish.,Contamination,High
drain is flul of grabage.,Drainage,Medium
water stagnation due to blocked drainage.,Drainage,Medium
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium
Water is leaking from the main pipe near Koramangala.,Leakage,Medium
"Gutter is blocked, very bad smell.",Drainage,Low
Taps are leaking continuously.,Leakage,Medium
Drinking water is contaminated in Hebbal.,Contamination,Medium
Manhole is open and overflowing.,Drainage,High
watr lekng frm pip Basavanagudi.,Leakage,Medium
When will water come today? No supply.,Supply,Medium
We are not getting water in Banashankari.,Supply,Medium
only drops coming out from the tap.,Leakage,Low
When will water come today? No supply.,Supply,Medium
pype brst at Koramangala.,Leakage,Medium
"Gutter is blocked, very bad smell.",Drainage,Low
"Gutter is blocked, very bad smell.",Drainage,Medium
Manhole is open and overflowing.,Drainage,High
Water smells bad and is yellowish.,Contamination,High
water colour is black.,Contamination,High
drinage blok in frnt of house.,Drainage,Medium
"Gutter is blocked, very bad smell.",Drainage,Low
Low water pressure today.,Supply,Low
"Pipe burst in Indiranagar, water is everywhere.",Leakage,High
no suply of watr since 2 days.,Supply,High
Water is muddy and unhygienic.,Contamination,Medium
water stagnation due to blocked drainage.,Drainage,Medium
water pipe odedide Yelahanka nalli.,Leakage,High
getting dirty water for drinking.,Contamination,Medium
Mosquitoes increasing because of drainage leak.,Drainage,Medium
water pipe odedide Yelahanka nalli.,Leakage,High
Sewage mixed with drinking water.,Contamination,High
Huge water leak at BTM Layout.,Leakage,Medium
neeralli kachara barthide.,Contamination,Medium
bad smll wter cming frm tap.,Contamination,Low
Water supply illa 2 days inda.,Supply,High
neeru leak agthide Banashankari hatra.,Leakage,Medium
water stagnation due to blocked drainage.,Drainage,Medium
Water smells bad and is yellowish.,Contamination,High
Water is leaking from the main pipe near BTM Layout.,Leakage,Medium
drain is flul of grabage.,Drainage,Medium
Drinking water is contaminated in Majestic.,Contamination,Medium
"Drainage block agide, vasane barthide Malleswaram.",Drainage,Low
Mosquitoes increasing because of drainage leak.,Drainage,Medium
Manhole is open and overflowing.,Drainage,High
Sewage mixed with drinking water.,Contamination,High
"Drainage block agide, vasane barthide Hebbal.",Drainage,Low
drain is flul of grabage.,Drainage,Medium
Drainage is blocked and overflowing in Malleswaram.,Drainage,High
Sewage water entering the road.,Drainage,Medium
"Pipe burst in Banashankari, water is everywhere.",Leakage,High
water colour is black.,Contamination,High
Low water pressure today.,Supply,Low
"Gutter is blocked, very bad smell.",Drainage,Low
"Water timing is not followed, please fix.",Supply,Low
water stagnation due to blocked drainage.,Drainage,Medium
drain is flul of grabage.,Drainage,Medium
No water supply since 1 week.,Supply,High
"Water timing is not followed, please fix.",Supply,Low
Water smells bad and is yellowish.,Contamination,High
neeru barthilla nam manege.,Supply,High
Taps are leaking continuously.,Leakage,Medium
bad smll wter cming frm tap.,Contamination,Low
water pipe odedide Indiranagar nalli.,Leakage,High
Manhole is open and overflowing.,Drainage,High
Drainage is blocked and overflowing in Rajajinagar.,Drainage,High
